"dip_dir:0"	"dip_dir:1"	"dip_dir:2"	"normal_dir:0"	"normal_dir:1"	"normal_dir:2"	"strike_dir:0"	"strike_dir:1"	"strike_dir:2"	"Points:0"	"Points:1"	"Points:2"
0.95567689	-0.27335011	0.10793153	-0.10366441	0.029582544	0.9941704	-0.27494959	-0.96129446	0	12482.573	-4568.373	-6210.4653
0.99568813	-0.054961726	0.072836889	-0.072607204	0.0040750737	0.99735143	-0.055112984	-0.99833968	0	18194.523	-8001.0625	-5631.895
0.91312053	0.048784977	0.40132354	-0.39558479	-0.023557201	0.91770011	0.054256898	-0.99705333	0	-13689.718	11160.291	-12772.413
0.90687855	0.042238913	0.40896854	-0.40296543	-0.021990556	0.91393014	0.047678146	-0.99394128	0	-12942.655	10711.332	-12430.002
-0.47516779	0.87369929	0.068224758	0.031728142	-0.059067766	0.99773318	0.8757518	0.4762552	0	24692.559	-11906.163	-5587.2842
-0.4508775	0.88486194	0.06800915	0.02998244	-0.059359715	0.99776555	0.88692412	0.45190573	0	24816.941	-11980.913	-5595.8462
0.95568573	-0.27322514	0.10802717	-0.10375478	0.029585181	0.99416053	-0.27482582	-0.96131378	0	12369.78	-4500.5884	-6224.5083
-0.48450313	0.87147359	0.067607345	0.032250934	-0.058401861	0.99776944	0.87347853	0.48560326	0	24627.672	-11867.168	-5583.2344
0.98329174	-0.057812992	0.11729172	-0.1147251	0.0051514526	0.99324783	-0.058035567	-0.9901603	0	31732.232	-16136.77	-5287.21
0.97346529	0.21233774	0.083485232	-0.079919902	-0.018108436	0.99661636	0.21313724	-0.97688164	0	28534.629	-14215.117	-5617.6406
0.82180851	0.52527459	0.063891576	-0.050232416	-0.033857824	0.99807449	0.52643224	-0.82347113	0	27465.707	-13572.731	-5671.4399
0.78360126	-0.58632957	0.20538576	-0.16443981	0.12304638	0.97868202	-0.59910248	-0.80067046	0	-32070.209	22206.346	-15232.577
0.78386634	-0.58598601	0.20536246	-0.16447724	0.12295609	0.97868735	-0.59874772	-0.80093761	0	-31291.787	21738.541	-15043.008
-0.076135239	0.92225705	0.24747091	-0.0094095976	-0.21189184	0.97368636	0.95266644	0.072155231	0	-19470.143	14634.132	-13822.936
