X_Center	BPR1_Y	BPR2_Y	U1518_Y	U1519_Y	CNST_X	GISB_X	MAKO_X	TKAR_X	AHTI_X	MATW_X	CNST_Y	GISB_Y	MAKO_Y	TKAR_Y	AHTI_Y	MATW_Y	U1518_dilatation	U1519_dilatation
-5.000000000000000000e+04	-1.871674431111976667e-03	-5.218737175186050330e-04	-5.198304015394973870e-04	-9.600613335305156065e-03	-3.688562430190565206e-02	-1.528185141571997488e-02	-4.495672607749563732e-02	-7.730757225529519099e-03	-1.459721230943069117e-02	-3.464118799478260475e-03	5.520842805123575212e-03	1.335658788704149717e-03	7.811066617563488385e-03	-2.810716410061872908e-04	1.184085240633400661e-03	-4.846728724640428083e-04	-3.871184494001727553e-09	3.061916196971299671e-08
-4.500000000000000000e+04	-4.845450170392339405e-03	-9.294579061044576211e-05	-2.410097284181716829e-04	-3.321069625788287960e-02	-1.948447993604131984e-02	-7.996845600365088194e-03	-2.389943868134286262e-02	-4.014584634636497729e-03	-7.636368918215612200e-03	-1.765489908071685198e-03	2.159722898296904947e-03	6.177535772614061761e-04	2.926845808865279411e-03	-1.742690847742464958e-04	5.482602472298405078e-04	-2.734259775618013018e-04	-1.928811602817575457e-08	1.314301709375541019e-07
-4.000000000000000000e+04	-1.327587251563522135e-02	1.197751053944477918e-04	-1.774112637022743581e-04	-1.117968561827750451e-01	-1.138730732301368800e-02	-4.828811653920222352e-03	-1.382704117689323789e-02	-2.445925630209859827e-03	-4.616572764869935827e-03	-1.069841482729171935e-03	1.130387215888096087e-03	3.257656619441253224e-04	1.492715313134005631e-03	-1.406940569833755022e-04	2.854365649152403690e-04	-1.884620656260415738e-04	-3.694896879104161957e-08	7.004751724205418454e-07
-3.500000000000000000e+04	-5.115748196540720327e-02	2.318348271610120377e-04	-2.840000287927372559e-04	-9.825202788698605971e-02	-7.676280800961674325e-03	-3.415955950828292002e-03	-9.197121586290223777e-03	-1.771176002525030923e-03	-3.272700231778500821e-03	-7.871911430014686501e-04	6.205818336826073641e-04	1.337526929690668702e-04	8.350802770308181876e-04	-1.621553018478372611e-04	1.079513172564390664e-04	-1.618414705477717245e-04	-6.443987827870207708e-08	-1.366279294282729019e-06
-3.000000000000000000e+04	-1.653631961011753637e-01	2.114632379053691291e-04	-4.809588182532293049e-04	1.246507890419942532e-01	-5.352256887377001421e-03	-2.548663259731997685e-03	-6.308108677310674331e-03	-1.383347201284749767e-03	-2.450116090970134650e-03	-6.501521581362974377e-04	2.119747619115965585e-04	-4.263010955155270164e-05	3.336858686657017759e-04	-2.019593488517142077e-04	-5.712382675696157236e-05	-1.469842744415068608e-04	-9.661108912098705870e-08	1.207096046878956461e-06
-2.500000000000000000e+04	4.126769618900096026e-02	4.502092577178309885e-04	-1.059659689246246136e-03	4.390581106047823645e-02	-3.313291789185345004e-03	-1.635072776732031125e-03	-3.868790678377072821e-03	-9.050646646861748275e-04	-1.574431957071640090e-03	-4.328200536759459508e-04	3.889319556648154243e-05	-8.495795835767611527e-05	1.034821607467228813e-04	-1.649157538428555321e-04	-9.254322253422842871e-05	-1.083436981941126892e-04	-2.139194724421188156e-07	-5.230984728500231670e-07
-2.000000000000000000e+04	9.920767537284583271e-02	6.987302595588836636e-04	-4.083661604917691174e-03	7.489232687212419096e-03	-1.573566967238631403e-03	-7.651377665292643680e-04	-1.838299622275317916e-03	-4.096252827246475627e-04	-7.356758968796828051e-04	-1.810528578037055771e-04	1.777350630312946798e-05	-4.598894213488221531e-05	4.914346809457068016e-05	-8.840632707922010632e-05	-4.995166729337208514e-05	-6.202049532283166605e-05	-5.576019545713586210e-07	-1.928492277947634290e-07
-1.500000000000000000e+04	2.275060029351371263e-02	1.154900597139163276e-04	-2.479753150707349196e-02	2.536742628481771216e-03	-1.567413809043538466e-03	-8.169956925377789073e-04	-1.803642694381982735e-03	-4.653508026720975794e-04	-7.886283288919804756e-04	-2.283988262096720121e-04	-1.010649736387678421e-04	-1.170991038035168599e-04	-8.240111834149416907e-05	-1.283715625877082797e-04	-1.187389392550370151e-04	-7.199997172389449151e-05	-2.027766853717132634e-06	-7.706681823826230740e-08
-1.000000000000000000e+04	5.190159218461959205e-03	-1.284111761273443696e-03	-1.437242653617067933e-01	7.795660955418889449e-04	-2.415974186728295139e-03	-1.427501494491309952e-03	-2.710134180714897367e-03	-9.190780293317677395e-04	-1.388197232860912929e-03	-5.447957236691610989e-04	-4.156209406756503381e-04	-3.151910377582820000e-04	-4.191833963788458716e-04	-2.503664966082395785e-04	-3.114120253578211549e-04	-9.726861379521145254e-05	-1.460984613691774827e-06	-3.813387546403868772e-08
-5.000000000000000000e+03	1.071732037220421126e-03	-1.430332283740813268e-03	-2.718645036243097848e-02	-1.136413851059567116e-05	-1.525642355756426502e-03	-9.346995744202203638e-04	-1.698223985437433050e-03	-6.216675504264544249e-04	-9.108285959308684825e-04	-3.847293304228419693e-04	-3.178358876918100143e-04	-2.269076233558734172e-04	-3.270995480959467956e-04	-1.679758871837719531e-04	-2.231280426999817973e-04	-5.740960306717144226e-05	1.191300284742214636e-06	-1.492269638514913994e-08
