X_Center	BPR1_Y	BPR2_Y	U1518_Y	U1519_Y	CNST_X	GISB_X	MAKO_X	TKAR_X	AHTI_X	MATW_X	CNST_Y	GISB_Y	MAKO_Y	TKAR_Y	AHTI_Y	MATW_Y	U1518_dilatation	U1519_dilatation
-5.000000000000000000e+04	-4.471093697350009104e-03	-8.898307481268168811e-04	-9.368828416000456140e-04	-2.468164144850142419e-02	-6.961729814977583863e-02	-2.893309814076129236e-02	-8.454003808809046339e-02	-1.460203381075577539e-02	-2.763345365482133831e-02	-6.522543089307133307e-03	1.118991497614981595e-02	2.693802332355839380e-03	1.579289789912239478e-02	-4.669917727806384596e-04	2.394180726849949245e-03	-8.976262227736910970e-04	-1.207672108578577466e-08	8.249200045748447518e-08
-4.500000000000000000e+04	-1.153577125631029612e-02	-2.430093870932628294e-04	-5.520625626232978592e-04	-8.567450529391054670e-02	-4.118102433474794821e-02	-1.698343817375725512e-02	-5.042142051213648057e-02	-8.551751273283555305e-03	-1.622118203930889707e-02	-3.776838434063521481e-03	4.777448922965572137e-03	1.310190705435671605e-03	6.540438544929230193e-03	-3.799394507621816860e-04	1.160120746585782073e-03	-5.828407237758882319e-04	-4.063888619048143840e-08	4.225025526118994839e-07
-4.000000000000000000e+04	-3.393856799547990272e-02	2.492787018112331728e-04	-3.813480738119411463e-04	-2.221683588512579077e-01	-2.312456993857691170e-02	-9.777162373048653432e-03	-2.810754531510747251e-02	-4.949115600526561229e-03	-9.346547356663969380e-03	-2.165647423916111126e-03	2.310217358439638907e-03	6.600449177691194210e-04	3.064306813402296187e-03	-2.837420359643515275e-04	5.783039117733571825e-04	-3.798782651331084450e-04	-7.839196023794441119e-08	4.903939149918801831e-07
-3.500000000000000000e+04	-1.213296530015353231e-01	3.852511636641081736e-04	-5.671545379318438697e-04	-1.008812240132260368e-01	-1.496351279002590233e-02	-6.671047508946105140e-03	-1.792826551099095667e-02	-3.471098283727340819e-03	-6.392414811574612978e-03	-1.553871412976084391e-03	1.177989723774764460e-03	2.407409841713279591e-04	1.595735641275014462e-03	-3.252281263975493253e-04	1.912335247820602722e-04	-3.154166138032283542e-04	-1.224673654119431792e-07	-1.358010133345409635e-08
-3.000000000000000000e+04	-2.333657512166107950e-01	5.262648120344080600e-04	-1.096805621276286669e-03	1.491948018233089091e-01	-1.078874067284845382e-02	-5.092247191235669060e-03	-1.274260396756783827e-02	-2.746374337705954558e-03	-4.893132816374151997e-03	-1.279779612383675005e-03	4.819561496314311248e-04	-5.285798748242749199e-05	7.341259851084935536e-04	-3.865530693611542818e-04	-8.300220601953765451e-05	-2.896502786030620818e-04	-2.247803063124688959e-07	-1.785569482795152332e-07
-2.500000000000000000e+04	1.132927116341697973e-02	9.612860246199456202e-04	-2.883996087094370560e-03	1.115826546381071260e-01	-6.825296939673696286e-03	-3.339226002099103269e-03	-7.985710589914207791e-03	-1.836187428587990811e-03	-3.213920115732973870e-03	-8.699659102044981400e-04	1.207279264226149978e-04	-1.509457576319167701e-04	2.587169083345936113e-04	-3.254500570500179447e-04	-1.673076346846167684e-04	-2.190752707025696256e-04	-5.161725722117042997e-07	-3.778044318806802602e-07
-2.000000000000000000e+04	1.908497263348910844e-01	1.200203699515237782e-03	-1.295604238396032629e-02	2.023878007092161369e-02	-3.437382390158223548e-03	-1.676940842612261243e-03	-4.013810593648142397e-03	-9.021276568339721587e-04	-1.612767205123610565e-03	-4.031019675121935188e-04	2.723544336661437346e-05	-1.068421000804973338e-04	9.460791520653278924e-05	-1.956169528501861151e-04	-1.152098850809652115e-04	-1.348336206022930812e-04	-1.438777943657360485e-06	-4.458550000755222164e-07
-1.500000000000000000e+04	5.235351543437917476e-02	7.291855318138413156e-05	-5.978946467975511381e-02	5.028596371589958217e-03	-3.170955918094940824e-03	-1.693292338573908163e-03	-3.633023315448969878e-03	-9.917312424787304900e-04	-1.637063112496582595e-03	-5.114241964271909338e-04	-2.561584957859076991e-04	-2.613042877608954791e-04	-2.254248585242562457e-04	-2.661692667296605133e-04	-2.632294448231842785e-04	-1.388614739596998266e-04	-4.213425576900841347e-06	-1.535006784475004125e-07
-1.000000000000000000e+04	1.307945486058344729e-02	-2.154774642505013962e-03	-3.585496960415689438e-01	1.837686204778560478e-03	-4.387011953268199309e-03	-2.571155455307288281e-03	-4.929941125712809270e-03	-1.643912972656794277e-03	-2.499242817073161777e-03	-9.655481050245447172e-04	-7.227035412907565704e-04	-5.556890902053367425e-04	-7.251822430094294163e-04	-4.480275567553434731e-04	-5.495977105045705188e-04	-1.781785031394695143e-04	-4.475187179944009879e-06	-7.932580719452775339e-08
-5.000000000000000000e+03	2.883798483857227205e-03	-3.470948166226413452e-03	-7.715478281434903773e-02	6.165292223060527628e-06	-3.483643380713977514e-03	-2.136311007514465725e-03	-3.877802001539062786e-03	-1.424021559506088086e-03	-2.081967344966745379e-03	-8.846522288948535781e-04	-7.297597541012433272e-04	-5.179877802673962936e-04	-7.519295465713675148e-04	-3.811027587657451381e-04	-5.091488413223159166e-04	-1.280794736942598338e-04	3.815746046341821955e-06	-3.603304452493235367e-08
