#HOLE:,U1519A
#EXPEDITION:,372
#TOP:,0.6404
#BOTTOM:,617.0984
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
45.1412,177.78157,-999.25,1.7145,-999.25
45.2936,177.09642,-999.25,1.7211,-999.25
45.4460,176.27167,-999.25,1.7291,-999.25
45.5984,175.17809,-999.25,1.7399,-999.25
45.7508,174.62430,-999.25,1.7455,-999.25
45.9032,174.89217,-999.25,1.7428,-999.25
46.0556,175.01738,-999.25,1.7415,-999.25
46.2080,174.89305,-999.25,1.7428,-999.25
46.3604,174.60986,-999.25,1.7456,-999.25
46.5128,174.75368,-999.25,1.7442,-999.25
46.6652,174.46658,-999.25,1.7470,-999.25
46.8176,174.20268,-999.25,1.7497,-999.25
46.9700,173.78543,-999.25,1.7539,-999.25
47.1224,173.64584,-999.25,1.7553,-999.25
47.2748,173.50256,-999.25,1.7567,-999.25
47.4272,172.95618,-999.25,1.7623,-999.25
47.5796,172.40904,-999.25,1.7679,-999.25
47.7320,172.25987,-999.25,1.7694,-999.25
47.8844,171.98723,-999.25,1.7722,-999.25
48.0368,171.16238,-999.25,1.7808,-999.25
48.1892,170.89249,-999.25,1.7836,-999.25
48.3416,170.88914,-999.25,1.7836,-999.25
48.4940,171.08247,-999.25,1.7816,-999.25
48.6464,171.81056,-999.25,1.7740,-999.25
48.7988,172.43628,-999.25,1.7676,-999.25
48.9512,172.53014,-999.25,1.7666,-999.25
49.1036,172.61751,-999.25,1.7658,-999.25
49.2560,172.94370,-999.25,1.7624,-999.25
49.4084,173.20244,-999.25,1.7598,-999.25
49.5608,173.22006,-999.25,1.7596,-999.25
49.7132,173.45232,-999.25,1.7573,-999.25
49.8656,173.99040,-999.25,1.7518,-999.25
50.0180,174.51767,-999.25,1.7465,-999.25
50.1704,174.66098,-999.25,1.7451,-999.25
50.3228,175.07326,-999.25,1.7410,-999.25
50.4752,175.20360,-999.25,1.7397,-999.25
50.6276,174.72307,-999.25,1.7445,-999.25
50.7800,173.87697,-999.25,1.7530,-999.25
50.9324,173.22581,-999.25,1.7596,-999.25
51.0848,172.72978,-999.25,1.7646,-999.25
51.2372,172.64558,-999.25,1.7655,-999.25
51.3896,172.94022,-999.25,1.7625,-999.25
51.5420,172.93558,-999.25,1.7625,-999.25
51.6944,172.57294,-999.25,1.7662,-999.25
51.8468,172.21262,-999.25,1.7699,-999.25
51.9992,171.94380,-999.25,1.7727,-999.25
52.1516,171.90254,-999.25,1.7731,-999.25
52.3040,172.17487,-999.25,1.7703,-999.25
52.4564,172.49849,-999.25,1.7670,-999.25
52.6088,172.59595,-999.25,1.7660,-999.25
52.7612,172.81061,-999.25,1.7638,-999.25
52.9136,172.97397,-999.25,1.7621,-999.25
53.0660,173.10626,-999.25,1.7608,-999.25
53.2184,172.99089,-999.25,1.7619,-999.25
53.3708,172.74142,-999.25,1.7645,-999.25
53.5232,172.56889,-999.25,1.7663,-999.25
53.6756,172.46722,-999.25,1.7673,-999.25
53.8280,172.45802,-999.25,1.7674,-999.25
53.9804,172.32475,-999.25,1.7688,-999.25
54.1328,172.07051,-999.25,1.7714,-999.25
54.2852,171.99219,-999.25,1.7722,-999.25
54.4376,172.14137,-999.25,1.7706,-999.25
54.5900,172.53035,-999.25,1.7666,-999.25
54.7424,172.50436,-999.25,1.7669,-999.25
54.8948,172.16711,-999.25,1.7704,-999.25
55.0472,171.88571,-999.25,1.7733,-999.25
55.1996,171.81122,-999.25,1.7740,-999.25
55.3520,171.92853,-999.25,1.7728,-999.25
55.5044,172.07448,-999.25,1.7713,-999.25
55.6568,172.16045,-999.25,1.7704,-999.25
55.8092,171.99113,-999.25,1.7722,-999.25
55.9616,171.82574,-999.25,1.7739,-999.25
56.1140,171.70654,-999.25,1.7751,-999.25
56.2664,171.89429,-999.25,1.7732,-999.25
56.4188,171.96533,-999.25,1.7725,-999.25
56.5712,171.61403,-999.25,1.7761,-999.25
56.7236,170.97615,-999.25,1.7827,-999.25
56.8760,170.78822,-999.25,1.7847,-999.25
57.0284,171.03610,-999.25,1.7821,-999.25
57.1808,171.03278,-999.25,1.7821,-999.25
57.3332,170.98163,-999.25,1.7826,-999.25
57.4856,171.28441,-999.25,1.7795,-999.25
57.6380,171.91861,-999.25,1.7729,-999.25
57.7904,172.28043,-999.25,1.7692,-999.25
57.9428,172.10832,-999.25,1.7710,-999.25
58.0952,171.57329,-999.25,1.7765,-999.25
58.2476,171.27188,-999.25,1.7796,-999.25
58.4000,171.30344,-999.25,1.7793,-999.25
58.5524,171.22960,-999.25,1.7801,-999.25
58.7048,171.35901,-999.25,1.7787,-999.25
58.8572,171.63927,-999.25,1.7758,-999.25
59.0096,171.71815,-999.25,1.7750,-999.25
