x_coord,depth_coord,vs,vp,density
-26385.751477010836,-901.2998315347808,232.07195979899498,1695.099854271357,1901.7356582914572
-26229.32798258416,-901.1040844135307,233.9638743718593,1695.71391959799,1901.555432160804
-26072.904488157485,-903.3397590555977,235.85578894472366,1696.327984924623,1901.3752060301508
-25916.48099373081,-905.6855954482819,237.74770351758795,1696.9420502512564,1901.1949798994974
-25760.057499304134,-908.0314318409661,239.63961809045225,1697.5561155778896,1901.0147537688442
-25603.63400487746,-910.3772682336503,241.5315326633166,1698.1701809045226,1900.8345276381908
-25447.210510450783,-912.3125883145351,243.42344723618092,1698.7842462311557,1900.6543015075376
-25290.787016024107,-910.9360169650233,245.31536180904524,1699.3983115577892,1900.4740753768842
-25134.363521597432,-910.4393442989382,247.20727638190957,1700.012376884422,1900.293849246231
-24977.940027170756,-910.6720684548283,249.09919095477386,1700.6264422110553,1900.1136231155779
-24821.51653274408,-910.9047926107185,250.9911055276382,1701.2405075376885,1899.9333969849247
-24665.093038317405,-911.1375167666085,252.8830201005025,1701.8545728643217,1899.7531708542715
-24508.66954389073,-911.3702409224986,254.77493467336686,1702.4686381909548,1899.572944723618
-24352.246049464055,-908.7050383653698,256.66684924623115,1703.082703517588,1899.392718592965
-24195.82255503738,-904.696541153521,258.5587638190955,1703.696768844221,1899.2124924623115
-24039.399060610704,-896.9204452597724,260.4506783919598,1704.3108341708544,1899.0322663316583
-23882.975566184028,-889.1443493660237,262.3425929648241,1704.9248994974876,1898.852040201005
-23726.552071757353,-881.368253472275,264.23450753768844,1705.5389648241205,1898.6718140703517
-23570.128577330677,-873.5921575785262,266.12642211055277,1706.153030150754,1898.4915879396983
-23413.705082904,-869.8027242045976,268.01833668341715,1706.767095477387,1898.3113618090451
-23257.281588477326,-865.2989488143858,269.9102512562814,1707.38116080402,1898.131135678392
-23100.85809405065,-857.5355692994049,271.80216582914574,1707.9952261306532,1897.9509095477388
