x_coord,depth_coord,vs,vp,density
-32909.412475662866,-1010.7317802738831,167.74665230004055,1674.221591297564,1907.8630144534086
-32742.372229463595,-1011.1228578533082,169.63856829827395,1674.8356545168022,1907.6827929369397
-32575.331983264325,-1011.5139354327334,171.53048429650732,1675.4497177360404,1907.502571420471
-32408.291737065054,-1011.9050130121585,173.42240029474073,1676.0637809552786,1907.322349904002
-32241.251490865783,-1012.5569850437456,175.31431629297413,1676.6778441745166,1907.1421283875334
-32074.211244666512,-1013.7129622717935,177.20623229120753,1677.2919073937549,1906.9619068710645
-31907.17099846724,-1014.6819064536684,179.09814828944093,1677.905970612993,1906.7816853545955
-31740.130752267967,-1015.6508506355433,180.99006428767433,1678.5200338322313,1906.6014638381268
-31573.090506068696,-1016.6197948174182,182.88198028590773,1679.1340970514693,1906.421242321658
-31406.050259869426,-1017.5887389992932,184.77389628414113,1679.7481602707078,1906.2410208051892
-31239.010013670155,-1018.4453939313751,186.66581228237453,1680.362223489946,1906.06079928872
-31071.969767470884,-1019.1007724386607,188.5577282806079,1680.9762867091843,1905.8805777722514
-30904.92952127161,-1019.7561509459463,190.4496442788413,1681.5903499284225,1905.7003562557827
-30737.88927507234,-1020.4115294532319,192.3415602770747,1682.2044131476605,1905.5201347393138
-30570.849028873068,-1021.0669079605174,194.23347627530813,1682.8184763668987,1905.339913222845
-30403.808782673797,-1021.5297176196664,196.12539227354154,1683.432539586137,1905.1596917063762
-30236.768536474527,-1020.9678534420361,198.0173082717749,1684.0466028053752,1904.9794701899073
-30069.728290275256,-1020.9055581461236,199.9092242700083,1684.6606660246132,1904.7992486734383
-29902.688044075985,-1020.843262850211,201.8011402682417,1685.2747292438517,1904.6190271569697
-29735.647797876714,-1020.7809675542984,203.6930562664751,1685.8887924630899,1904.4388056405007
-29568.60755167744,-1020.7186722583859,205.5849722647085,1686.5028556823281,1904.258584124032
-29401.56730547817,-1020.3967954217737,207.4768882629419,1687.1169189015661,1904.0783626075631
-29234.5270592789,-1019.3315434023191,209.3688042611753,1687.7309821208044,1903.8981410910942
-29067.486813079628,-1018.2662913828644,211.2607202594087,1688.3450453400426,1903.7179195746255
-28900.446566880357,-1017.2010393634098,213.15263625764211,1688.9591085592808,1903.5376980581566
-28733.406320681082,-1016.1357873439551,215.0445522558755,1689.573171778519,1903.357476541688
-28566.36607448181,-1015.04431935194,216.9364682541089,1690.187234997757,1903.177255025219
-28399.32582828254,-1013.8713187754423,218.8283842523423,1690.8012982169955,1902.99703350875
-28232.28558208327,-1012.6798540491217,220.72030025057572,1691.4153614362338,1902.8168119922811
-28065.245335884,-1010.9587338625656,222.61221624880912,1692.029424655472,1902.6365904758125
-27898.20508968473,-1009.2376136760095,224.5041322470425,1692.64348787471,1902.4563689593438
-27731.164843485458,-1007.5164934894534,226.3960482452759,1693.2575510939482,1902.2761474428748
-27564.124597286187,-1005.7953733028974,228.28796424350926,1693.8716143131865,1902.095925926406
-27397.084351086916,-1004.0742531163412,230.1798802417427,1694.4856775324247,1901.915704409937
-27230.044104887642,-1003.2545351371778,232.0717962399761,1695.099740751663,1901.7354828934683
-27063.00385868837,-1002.7749955376999,233.9637122382095,1695.713803970901,1901.5552613769994
-26895.9636124891,-1002.3870786739708,235.8556282364429,1696.3278671901392,1901.3750398605307
-26728.92336628983,-1001.9991618102417,237.7475442346763,1696.9419304093776,1901.1948183440618
-26561.883120090555,-1001.6112449465127,239.6394602329097,1697.5559936286159,1901.0145968275929
-26394.842873891284,-1001.3112084367866,241.53137623114307,1698.1700568478539,1900.8343753111242
-26227.802627692014,-1001.1021755965073,243.42329222937647,1698.784120067092,1900.6541537946553
-26060.762381492743,-1003.521850600109,245.31520822760987,1699.3981832863303,1900.4739322781866
-25893.722135293472,-1006.0269032458984,247.2071242258433,1700.0122465055686,1900.2937107617176
-25726.6818890942,-1008.5319558916879,249.09904022407667,1700.6263097248066,1900.1134892452487
