#HOLE:,U1518B
#EXPEDITION:,372
#TOP:,54.9772
#BOTTOM:,565.0600
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
95.0584,163.91478,-999.25,1.8595,-999.25
95.2108,159.50116,-999.25,1.9110,-999.25
95.3632,155.73912,-999.25,1.9571,-999.25
95.5156,154.82233,-999.25,1.9687,-999.25
95.6680,157.14061,-999.25,1.9397,-999.25
95.8204,160.49756,-999.25,1.8991,-999.25
95.9728,162.51187,-999.25,1.8756,-999.25
96.1252,164.55231,-999.25,1.8523,-999.25
96.2776,166.59219,-999.25,1.8296,-999.25
96.4300,169.34055,-999.25,1.7999,-999.25
96.5824,171.33836,-999.25,1.7789,-999.25
96.7348,170.57214,-999.25,1.7869,-999.25
96.8872,168.66748,-999.25,1.8071,-999.25
97.0396,167.79524,-999.25,1.8165,-999.25
97.1920,168.74658,-999.25,1.8063,-999.25
97.3444,168.60661,-999.25,1.8078,-999.25
97.4968,165.18785,-999.25,1.8452,-999.25
97.6492,161.32913,-999.25,1.8893,-999.25
97.8016,158.39514,-999.25,1.9243,-999.25
97.9540,157.09422,-999.25,1.9402,-999.25
98.1064,158.45296,-999.25,1.9236,-999.25
98.2588,161.46768,-999.25,1.8877,-999.25
98.4112,163.27982,-999.25,1.8667,-999.25
98.5636,164.74249,-999.25,1.8502,-999.25
98.7160,167.17860,-999.25,1.8232,-999.25
98.8684,168.37524,-999.25,1.8102,-999.25
99.0208,169.51726,-999.25,1.7980,-999.25
99.1732,169.85733,-999.25,1.7944,-999.25
99.3256,169.50964,-999.25,1.7981,-999.25
99.4780,167.68153,-999.25,1.8177,-999.25
99.6304,164.07153,-999.25,1.8577,-999.25
99.7828,160.17461,-999.25,1.9029,-999.25
99.9352,158.10149,-999.25,1.9279,-999.25
100.0876,157.53285,-999.25,1.9348,-999.25
100.2400,157.35057,-999.25,1.9371,-999.25
100.3924,158.41600,-999.25,1.9240,-999.25
100.5448,160.77025,-999.25,1.8959,-999.25
100.6972,161.89706,-999.25,1.8827,-999.25
100.8496,162.10710,-999.25,1.8802,-999.25
101.0020,161.80975,-999.25,1.8837,-999.25
101.1544,161.00557,-999.25,1.8931,-999.25
101.3068,159.75484,-999.25,1.9079,-999.25
101.4592,159.18518,-999.25,1.9148,-999.25
101.6116,161.02325,-999.25,1.8929,-999.25
101.7640,164.30115,-999.25,1.8551,-999.25
101.9164,167.32037,-999.25,1.8217,-999.25
102.0688,167.98065,-999.25,1.8145,-999.25
102.2212,166.10866,-999.25,1.8349,-999.25
102.3736,163.26019,-999.25,1.8670,-999.25
102.5260,160.80287,-999.25,1.8955,-999.25
102.6784,159.45412,-999.25,1.9115,-999.25
102.8308,158.46515,-999.25,1.9235,-999.25
102.9832,159.93230,-999.25,1.9058,-999.25
103.1356,164.12001,-999.25,1.8572,-999.25
103.2880,167.25279,-999.25,1.8224,-999.25
103.4404,167.89215,-999.25,1.8155,-999.25
103.5928,166.51924,-999.25,1.8304,-999.25
103.7452,165.94688,-999.25,1.8367,-999.25
103.8976,166.62096,-999.25,1.8293,-999.25
104.0500,167.44992,-999.25,1.8202,-999.25
104.2024,167.73572,-999.25,1.8171,-999.25
104.3548,165.50999,-999.25,1.8416,-999.25
104.5072,159.08618,-999.25,1.9159,-999.25
104.6596,152.15082,-999.25,2.0033,-999.25
104.8120,152.25340,-999.25,2.0019,-999.25
104.9644,155.48318,-999.25,1.9603,-999.25
105.1168,157.19194,-999.25,1.9390,-999.25
105.2692,156.71892,-999.25,1.9449,-999.25
105.4216,156.22824,-999.25,1.9510,-999.25
105.5740,160.39415,-999.25,1.9003,-999.25
105.7264,164.94438,-999.25,1.8479,-999.25
105.8788,169.35629,-999.25,1.7998,-999.25
106.0312,172.09796,-999.25,1.7711,-999.25
106.1836,171.89618,-999.25,1.7732,-999.25
106.3360,169.61446,-999.25,1.7970,-999.25
106.4884,165.90260,-999.25,1.8372,-999.25
106.6408,164.07741,-999.25,1.8577,-999.25
106.7932,162.34346,-999.25,1.8775,-999.25
106.9456,157.39418,-999.25,1.9365,-999.25
107.0980,150.15739,-999.25,2.0299,-999.25
107.2504,149.23132,-999.25,2.0425,-999.25
107.4028,155.44810,-999.25,1.9608,-999.25
107.5552,161.92827,-999.25,1.8823,-999.25
107.7076,163.24091,-999.25,1.8672,-999.25
107.8600,161.08769,-999.25,1.8921,-999.25
108.0124,160.71642,-999.25,1.8965,-999.25
108.1648,161.89159,-999.25,1.8827,-999.25
108.3172,160.90291,-999.25,1.8943,-999.25
108.4696,157.38437,-999.25,1.9367,-999.25
108.6220,156.32521,-999.25,1.9498,-999.25
108.7744,160.10953,-999.25,1.9037,-999.25
108.9268,165.52985,-999.25,1.8414,-999.25
109.0792,166.85432,-999.25,1.8267,-999.25
109.2316,165.08607,-999.25,1.8463,-999.25
109.3840,163.67276,-999.25,1.8623,-999.25
109.5364,163.08231,-999.25,1.8690,-999.25
109.6888,162.31793,-999.25,1.8778,-999.25
109.8412,160.60217,-999.25,1.8979,-999.25
109.9936,159.02455,-999.25,1.9167,-999.25
110.1460,158.26051,-999.25,1.9259,-999.25
110.2984,158.78661,-999.25,1.9196,-999.25
110.4508,158.94708,-999.25,1.9176,-999.25
110.6032,158.55467,-999.25,1.9224,-999.25
110.7556,158.82365,-999.25,1.9191,-999.25
110.9080,160.11893,-999.25,1.9036,-999.25
111.0604,161.27594,-999.25,1.8899,-999.25
111.2128,161.78333,-999.25,1.8840,-999.25
111.3652,161.92841,-999.25,1.8823,-999.25
111.5176,162.19347,-999.25,1.8792,-999.25
111.6700,163.07042,-999.25,1.8691,-999.25
111.8224,164.62086,-999.25,1.8515,-999.25
111.9748,165.70706,-999.25,1.8394,-999.25
112.1272,165.85162,-999.25,1.8378,-999.25
112.2796,164.79420,-999.25,1.8496,-999.25
112.4320,161.50777,-999.25,1.8872,-999.25
112.5844,157.16261,-999.25,1.9394,-999.25
112.7368,155.76512,-999.25,1.9568,-999.25
112.8892,158.24843,-999.25,1.9261,-999.25
113.0416,160.25099,-999.25,1.9020,-999.25
113.1940,160.25394,-999.25,1.9020,-999.25
113.3464,158.32518,-999.25,1.9252,-999.25
113.4988,156.66153,-999.25,1.9456,-999.25
113.6512,157.96175,-999.25,1.9296,-999.25
113.8036,161.68094,-999.25,1.8852,-999.25
113.9560,164.92514,-999.25,1.8481,-999.25
114.1084,166.25087,-999.25,1.8334,-999.25
114.2608,166.49402,-999.25,1.8307,-999.25
114.4132,165.86865,-999.25,1.8376,-999.25
114.5656,162.75525,-999.25,1.8728,-999.25
114.7180,158.32765,-999.25,1.9251,-999.25
114.8704,154.54219,-999.25,1.9723,-999.25
115.0228,152.82417,-999.25,1.9944,-999.25
115.1752,156.47247,-999.25,1.9479,-999.25
115.3276,163.22624,-999.25,1.8673,-999.25
115.4800,167.32288,-999.25,1.8216,-999.25
115.6324,166.90199,-999.25,1.8262,-999.25
115.7848,164.94415,-999.25,1.8479,-999.25
115.9372,163.13855,-999.25,1.8684,-999.25
116.0896,162.25560,-999.25,1.8785,-999.25
116.2420,161.68840,-999.25,1.8851,-999.25
116.3944,160.46663,-999.25,1.8995,-999.25
116.5468,159.31354,-999.25,1.9132,-999.25
116.6992,160.75798,-999.25,1.8960,-999.25
116.8516,164.56734,-999.25,1.8521,-999.25
117.0040,167.26671,-999.25,1.8222,-999.25
117.1564,166.79936,-999.25,1.8273,-999.25
117.3088,162.45795,-999.25,1.8762,-999.25
117.4612,157.08582,-999.25,1.9403,-999.25
117.6136,154.48297,-999.25,1.9730,-999.25
117.7660,155.11043,-999.25,1.9651,-999.25
117.9184,157.40689,-999.25,1.9364,-999.25
118.0708,160.08968,-999.25,1.9039,-999.25
118.2232,161.38760,-999.25,1.8886,-999.25
118.3756,161.67299,-999.25,1.8853,-999.25
