x,y,vp,vs,density
-47500.0,-275000.0,8.67,4.95,3490.0
-45000.0,-275000.0,8.67,4.95,3490.0
-42500.0,-275000.0,8.67,4.950000000000001,3490.0
-40000.0,-275000.0,8.67,4.95,3490.0
-37500.0,-275000.0,8.67,4.95,3490.0
-35000.0,-275000.0,8.67,4.95,3490.0
-32500.0,-275000.0,8.67,4.95,3490.0
-30000.0,-275000.0,8.67,4.95,3490.0
-27500.0,-275000.0,8.67,4.95,3490.0000000000005
-25000.0,-275000.0,8.67,4.95,3490.0
-22500.0,-275000.0,8.67,4.95,3490.0
-20000.0,-275000.0,8.67,4.95,3489.9999999999995
-17500.0,-275000.0,8.67,4.95,3490.0
-15000.0,-275000.0,8.67,4.95,3490.0
-12500.0,-275000.0,8.67,4.95,3490.0
-10000.0,-275000.0,8.67,4.95,3490.0
-7500.0,-275000.0,8.67,4.95,3490.0
-5000.0,-275000.0,8.67,4.95,3490.0
-2500.0,-275000.0,8.67,4.95,3490.0
0.0,-275000.0,8.670831861586755,4.950831861586756,3490.8318615867547
2500.0,-275000.0,8.671824053157783,4.951824053157784,3491.824053157783
5000.0,-275000.0,8.67281627184979,4.95281627184979,3492.8162718497897
7500.0,-275000.0,8.673808517656443,4.9538085176564435,3493.8085176564437
10000.0,-275000.0,8.67480079057142,4.9548007905714195,3494.8007905714194
12500.0,-275000.0,8.675793090588385,4.955793090588386,3495.793090588386
15000.0,-275000.0,8.676785417701014,4.956785417701014,3496.7854177010145
17500.0,-275000.0,8.677777771902973,4.957777771902972,3497.777771902972
20000.0,-275000.0,8.678770153187925,4.958770153187926,3498.7701531879256
22500.0,-275000.0,8.679762561549543,4.959762561549543,3499.762561549544
25000.0,-275000.0,8.68,4.960000000000001,3500.0000000000005
27500.0,-275000.0,8.68,4.96,3500.0
30000.0,-275000.0,8.68,4.96,3500.0
32500.0,-275000.0,8.68,4.96,3499.9999999999995
35000.0,-275000.0,8.68,4.960000000000001,3500.0
37500.0,-275000.0,8.68,4.96,3500.0
40000.0,-275000.0,8.68,4.960000000000001,3500.0
42500.0,-275000.0,8.68,4.959999999999999,3500.0
45000.0,-275000.0,8.68,4.96,3500.0
47500.0,-275000.0,8.68,4.96,3500.0
50000.0,-275000.0,8.68,4.96,3500.0000000000005
55000.0,-275000.0,8.679999999999998,4.959999999999999,3499.9999999999995
60000.0,-275000.0,8.68,4.96,3499.9999999999995
65000.0,-275000.0,8.68,4.960000000000001,3500.0000000000005
70000.0,-275000.0,8.68,4.96,3500.0
75000.0,-275000.0,8.68,4.96,3500.0
80000.0,-275000.0,8.68,4.96,3500.0
85000.0,-275000.0,8.68,4.96,3500.0
90000.0,-275000.0,8.68,4.96,3500.0
95000.0,-275000.0,8.680277076943876,4.960277076943874,3500.0
100000.0,-275000.0,8.68127030809625,4.961270308096252,3499.9999999999995
110000.0,-275000.0,8.683256931616851,4.9632569316168516,3500.0
120000.0,-275000.0,8.6852437699222,4.965243769922201,3500.0
130000.0,-275000.0,8.687230822808552,4.967230822808551,3500.0
140000.0,-275000.0,8.689218090072028,4.969218090072029,3500.0
150000.0,-275000.0,8.690567327768775,4.970709159710968,3500.070915971097
175000.0,-275000.0,8.69290598153783,4.973632476922286,3500.363247692229
200000.0,-275000.0,8.695245263124976,4.9765565789062185,3500.655657890622
250000.0,-275000.0,8.699925703732289,4.982407129665363,3501.240712966536
300000.0,-275000.0,8.704608637524332,4.988260796905415,3501.8260796905415
400000.0,-275000.0,8.713981936198564,4.9999774202482055,3502.9977420248206
500000.0,-275000.0,8.723365061799319,5.011706327249147,3504.1706327249144
-500000.0,-225000.0,8.365027616586172,4.837513115090453,3428.7575973491744
-400000.0,-225000.0,8.251688184430064,4.758777589137399,3408.5775649146544
-300000.0,-225000.0,8.696411878011837,4.84958141357289,3499.8543929690404
