#HOLE:,U1519A
#EXPEDITION:,372
#TOP:,26.7013
#BOTTOM:,644.3784
DEPTH_LSF,RHON
m,g/cm3
149.3832,1.038716
149.5356,0.9967688
149.6880,0.952525
149.8404,1.024441
149.9928,1.126479
150.1452,1.320052
150.2976,1.496014
150.4500,1.677803
150.6024,1.787553
150.7548,1.817693
150.9072,1.791137
151.0596,1.754939
151.2120,1.702842
151.3644,1.650225
151.5168,1.647991
151.6692,1.639663
151.8216,1.617878
151.9740,1.560991
152.1264,1.501394
152.2788,1.448984
152.4312,1.402378
152.5836,1.359508
152.7360,1.336046
152.8884,1.29709
153.0408,1.265877
153.1932,1.266186
153.3456,1.260256
153.4980,1.306806
153.6504,1.360236
153.8028,1.413171
153.9552,1.381481
154.1076,1.34483
154.2600,1.268738
154.4124,1.218351
154.5648,1.162311
154.7172,1.152279
154.8696,1.168234
155.0220,1.179439
155.1744,1.205259
155.3268,1.21965
155.4792,1.216399
155.6316,1.207285
155.7840,1.194331
155.9364,1.175806
156.0888,1.123175
156.2412,1.090043
156.3936,1.056657
156.5460,1.068861
156.6984,1.095425
156.8508,1.148883
157.0032,1.243451
157.1556,1.371861
157.3080,1.472028
157.4604,1.55529
157.6128,1.628226
157.7652,1.628581
157.9176,1.562564
158.0700,1.507487
158.2224,1.497577
158.3748,1.474959
158.5272,1.496807
158.6796,1.540711
158.8320,1.566634
158.9844,1.557271
159.1368,1.538393
159.2892,1.542645
159.4416,1.527739
159.5940,1.55944
159.7464,1.587512
159.8988,1.70079
160.0512,1.672833
160.2036,1.663723
160.3560,1.652596
160.5084,1.613613
160.6608,1.524633
160.8132,1.536324
160.9656,1.520465
161.1180,1.519244
161.2704,1.566415
161.4228,1.577667
161.5752,1.606811
161.7276,1.601098
161.8800,1.56772
162.0324,1.49458
162.1848,1.428264
162.3372,1.354071
162.4896,1.302502
162.6420,1.273419
162.7944,1.305083
162.9468,1.374527
163.0992,1.439503
163.2516,1.458526
163.4040,1.468055
163.5564,1.448277
163.7088,1.394307
163.8612,1.332881
164.0136,1.311755
164.1660,1.310474
164.3184,1.350638
164.4708,1.40682
164.6232,1.465444
164.7756,1.480105
164.9280,1.453304
165.0804,1.430337
165.2328,1.359589
165.3852,1.254235
165.5376,1.193218
165.6900,1.160833
165.8424,1.147134
165.9948,1.151819
166.1472,1.178317
166.2996,1.206253
166.4520,1.280525
166.6044,1.360849
166.7568,1.435133
166.9092,1.525876
167.0616,1.594592
167.2140,1.634852
167.3664,1.646582
167.5188,1.665007
167.6712,1.672033
167.8236,1.712549
167.9760,1.757442
168.1284,1.7937
168.2808,1.814024
168.4332,1.800265
168.5856,1.759203
168.7380,1.700554
168.8904,1.680484
169.0428,1.663219
169.1952,1.689288
169.3476,1.729805
169.5000,1.776316
169.6524,1.767089
169.8048,1.75551
169.9572,1.720003
170.1096,1.697106
170.2620,1.665872
170.4144,1.642118
170.5668,1.615841
170.7192,1.608734
170.8716,1.595379
171.0240,1.580213
171.1764,1.515376
171.3288,1.450863
171.4812,1.422268
171.6336,1.409723
171.7860,1.403796
171.9384,1.439617
172.0908,1.484698
172.2432,1.538917
172.3956,1.557948
172.5480,1.596846
172.7004,1.622812
172.8528,1.646398
173.0052,1.649822
173.1576,1.676187
173.3100,1.67382
173.4624,1.681772
173.6148,1.684859
173.7672,1.676054
